no,zh_tw,en,aliases
0101,頑皮雷彈,Electrode,顽皮雷弹|頑皮彈|雷霆蛋|顽皮弹
0102,蛋蛋,Exeggcute,
0103,椰蛋樹,Exeggutor,椰蛋树|椰樹獸
0104,卡拉卡拉,Cubone,可拉可拉
0105,嘎啦嘎啦,Marowak,嘎拉嘎拉|格拉格拉
0106,飛腿郎,Hitmonlee,飞腿郎|沙瓦郎|沙古拉
0107,快拳郎,Hitmonchan,艾比郎|比華拉
0108,大舌頭,Lickitung,大舌头
0109,瓦斯彈,Koffing,瓦斯弹|毒氣丸
0110,雙彈瓦斯,Weezing,双弹瓦斯|毒氣雙子
0111,獨角犀牛,Rhyhorn,独角犀牛|鐵甲犀牛|铁甲犀牛
0112,鑽角犀獸,Rhydon,钻角犀兽|鐵甲暴龍|铁甲暴龙
0113,吉利蛋,Chansey,
0114,蔓藤怪,Tangela,長藤怪
0115,袋獸,Kangaskhan,袋兽|袋龍|袋龙
0116,墨海馬,Horsea,墨海马|噴墨海馬
0117,海刺龍,Seadra,海刺龙|飛刺海馬
0118,角金魚,Goldeen,角金鱼|獨角金魚
0119,金魚王,Seaking,金鱼王
0120,海星星,Staryu,
0121,寶石海星,Starmie,宝石海星
0122,魔牆人偶,Mr. Mime,魔墙人偶|吸盤魔偶|吸盤小丑|吸盘魔偶
0123,飛天螳螂,Scyther,飞天螳螂
0124,迷唇姐,Jynx,紅唇娃
0125,電擊獸,Electabuzz,电击兽
0126,鴨嘴火獸,Magmar,鸭嘴火兽|鴨嘴火龍|鸭嘴火龙
0127,凱羅斯,Pinsir,凯罗斯|大甲|鉗刀甲蟲
0128,肯泰羅,Tauros,肯泰罗|大隻牛
0129,鯉魚王,Magikarp,鲤鱼王
0130,暴鯉龍,Gyarados,暴鲤龙|鯉魚龍
0131,拉普拉斯,Lapras,乘龍|背背龍|乘龙
0132,百變怪,Ditto,百变怪
0133,伊布,Eevee,伊貝
0134,水伊布,Vaporeon,水精靈|水伊貝|水精灵
0135,雷伊布,Jolteon,雷精靈|雷伊貝|雷精灵
0136,火伊布,Flareon,火精靈|火伊貝|火精灵
0137,多邊獸,Porygon,多边兽|3D龍|立方獸|3D龙
0138,菊石獸,Omanyte,菊石兽
0139,多刺菊石獸,Omastar,多刺菊石兽
0140,化石盔,Kabuto,萬年蟲
0141,鐮刀盔,Kabutops,镰刀盔|鐮刀蟲
0142,化石翼龍,Aerodactyl,化石翼龙|化石飛龍
0143,卡比獸,Snorlax,卡比兽
0144,急凍鳥,Articuno,急冻鸟
0145,閃電鳥,Zapdos,闪电鸟|雷鳥
0146,火焰鳥,Moltres,火焰鸟|火鳥
0147,迷你龍,Dratini,迷你龙
0148,哈克龍,Dragonair,哈克龙|哈古龍
0149,快龍,Dragonite,快龙|啟暴龍
0150,超夢,Mewtwo,超梦|超夢夢
0151,夢幻,Mew,梦幻|夢夢
0152,菊草葉,Chikorita,菊草叶
0153,月桂葉,Bayleef,月桂叶
0154,大竺葵,Meganium,大菊花
0155,火球鼠,Cyndaquil,
0156,火岩鼠,Quilava,
0157,火爆獸,Typhlosion,火暴兽|火暴獸
0158,小鋸鱷,Totodile,小锯鳄
0159,藍鱷,Croconaw,蓝鳄
0160,大力鱷,Feraligatr,大力鳄
0161,尾立,Sentret,
0162,大尾立,Furret,
0163,咕咕,Hoothoot,
0164,貓頭夜鷹,Noctowl,猫头夜鹰
0165,芭瓢蟲,Ledyba,芭瓢虫
0166,安瓢蟲,Ledian,安瓢虫
0167,圓絲蛛,Spinarak,圆丝蛛|線球|线球
0168,阿利多斯,Ariados,
0169,叉字蝠,Crobat,
0170,燈籠魚,Chinchou,灯笼鱼
0171,電燈怪,Lanturn,电灯怪
0172,皮丘,Pichu,比超
0173,皮寶寶,Cleffa,皮宝宝
0174,寶寶丁,Igglybuff,宝宝丁|小波球
0175,波克比,Togepi,小刺蛋
0176,波克基古,Togetic,
0177,天然雀,Natu,
0178,天然鳥,Xatu,天然鸟
0179,咩利羊,Mareep,
0180,茸茸羊,Flaaffy,綿綿
0181,電龍,Ampharos,电龙
0182,美麗花,Bellossom,美丽花
0183,瑪力露,Marill,玛力露|馬利露
0184,瑪力露麗,Azumarill,玛力露丽|馬利露麗
0185,樹才怪,Sudowoodo,树才怪|胡說樹|胡说树
0186,蚊香蛙皇,Politoed,牛蛙君
0187,毽子草,Hoppip,
0188,毽子花,Skiploom,
0189,毽子棉,Jumpluff,毽子綿
0190,長尾怪手,Aipom,长尾怪手
0191,向日種子,Sunkern,向日种子
0192,向日花怪,Sunflora,
0193,蜻蜻蜓,Yanma,陽陽瑪|阳阳玛
0194,烏波,Wooper,乌波
0195,沼王,Quagsire,
0196,太陽伊布,Espeon,太阳伊布|太陽精靈|太陽伊貝|太阳精灵
0197,月亮伊布,Umbreon,月精靈|月伊貝|月精灵
0198,黑暗鴉,Murkrow,黑暗鸦
0199,呆呆王,Slowking,河馬王|河马王
0200,夢妖,Misdreavus,梦妖
0201,未知圖騰,Unown,未知图腾
0202,果然翁,Wobbuffet,
0203,麒麟奇,Girafarig,
0204,榛果球,Pineco,
0205,佛烈托斯,Forretress,
0206,土龍弟弟,Dunsparce,土龙弟弟
0207,天蠍,Gligar,天蝎
0208,大鋼蛇,Steelix,大钢蛇
0209,布魯,Snubbull,布鲁|布盧|布卢
0210,布魯皇,Granbull,布鲁皇|布盧皇|布卢皇
0211,千針魚,Qwilfish,千针鱼
0212,巨鉗螳螂,Scizor,巨钳螳螂
0213,壺壺,Shuckle,壶壶
0214,赫拉克羅斯,Heracross,赫拉克罗斯
0215,狃拉,Sneasel,
0216,熊寶寶,Teddiursa,熊宝宝
0217,圈圈熊,Ursaring,
0218,熔岩蟲,Slugma,熔岩虫
0219,熔岩蝸牛,Magcargo,熔岩蜗牛
0220,小山豬,Swinub,小山猪
0221,長毛豬,Piloswine,长毛猪
0222,太陽珊瑚,Corsola,太阳珊瑚
0223,鐵炮魚,Remoraid,铁炮鱼
0224,章魚桶,Octillery,章鱼桶
0225,信使鳥,Delibird,信使鸟
0226,巨翅飛魚,Mantine,巨翅飞鱼
0227,盔甲鳥,Skarmory,盔甲鸟
0228,戴魯比,Houndour,戴鲁比
0229,黑魯加,Houndoom,黑鲁加
0230,刺龍王,Kingdra,刺龙王|魚龍王
0231,小小象,Phanpy,
0232,頓甲,Donphan,顿甲|冬凡
0233,多邊獸Ⅱ,Porygon2,多边兽Ⅱ|多边兽2型|3D龍II|立方獸II|3D龙II
0234,驚角鹿,Stantler,惊角鹿
0235,圖圖犬,Smeargle,图图犬
0236,無畏小子,Tyrogue,无畏小子|巴爾郎|巴尔郎
0237,戰舞郎,Hitmontop,战舞郎|柯波朗
0238,迷唇娃,Smoochum,
0239,電擊怪,Elekid,电击怪
0240,鴨嘴寶寶,Magby,鸭嘴宝宝|小鴨嘴龍|小鸭嘴龙
0241,大奶罐,Miltank,
0242,幸福蛋,Blissey,
0243,雷公,Raikou,
0244,炎帝,Entei,
0245,水君,Suicune,
0246,幼基拉斯,Larvitar,由基拉
0247,沙基拉斯,Pupitar,沙基拉
0248,班基拉斯,Tyranitar,班吉拉
0249,洛奇亞,Lugia,洛奇亚|利基亞
0250,鳳王,Ho-Oh,凤王|鳳凰
0251,時拉比,Celebi,时拉比|雪拉比
0252,木守宮,Treecko,木守宫
0253,森林蜥蜴,Grovyle,
0254,蜥蜴王,Sceptile,
0255,火稚雞,Torchic,火稚鸡
0256,力壯雞,Combusken,力壮鸡
0257,火焰雞,Blaziken,火焰鸡
0258,水躍魚,Mudkip,水跃鱼
0259,沼躍魚,Marshtomp,沼跃鱼
0260,巨沼怪,Swampert,
0261,土狼犬,Poochyena,
0262,大狼犬,Mightyena,
0263,蛇紋熊,Zigzagoon,蛇纹熊
0264,直衝熊,Linoone,直冲熊
0265,刺尾蟲,Wurmple,刺尾虫
0266,甲殼繭,Silcoon,甲壳茧|甲殼蛹|甲壳蛹
0267,狩獵鳳蝶,Beautifly,狩猎凤蝶
0268,盾甲繭,Cascoon,盾甲茧
0269,毒粉蛾,Dustox,毒粉蝶
0270,蓮葉童子,Lotad,莲叶童子
0271,蓮帽小童,Lombre,莲帽小童
0272,樂天河童,Ludicolo,乐天河童
0273,橡實果,Seedot,橡实果
0274,長鼻葉,Nuzleaf,长鼻叶
0275,狡猾天狗,Shiftry,
0276,傲骨燕,Taillow,
0277,大王燕,Swellow,
0278,長翅鷗,Wingull,长翅鸥
0279,大嘴鷗,Pelipper,大嘴鸥
0280,拉魯拉絲,Ralts,拉鲁拉丝
0281,奇魯莉安,Kirlia,奇鲁莉安
0282,沙奈朵,Gardevoir,
0283,溜溜糖球,Surskit,
0284,雨翅蛾,Masquerain,
0285,蘑蘑菇,Shroomish,
0286,斗笠菇,Breloom,
0287,懶人獺,Slakoth,懒人獭|懶人翁|懒人翁
0288,過動猿,Vigoroth,过动猿
0289,請假王,Slaking,请假王
0290,土居忍士,Nincada,
0291,鐵面忍者,Ninjask,铁面忍者
0292,脫殼忍者,Shedinja,脱壳忍者
0293,咕妞妞,Whismur,
0294,吼爆彈,Loudred,吼爆弹
0295,爆音怪,Exploud,
0296,幕下力士,Makuhita,
0297,鐵掌力士,Hariyama,铁掌力士|超力王
0298,露力麗,Azurill,露力丽
0299,朝北鼻,Nosepass,
0300,向尾喵,Skitty,
0301,優雅貓,Delcatty,优雅猫
0302,勾魂眼,Sableye,
0303,大嘴娃,Mawile,
0304,可可多拉,Aron,
0305,可多拉,Lairon,
0306,波士可多拉,Aggron,
0307,瑪沙那,Meditite,玛沙那
0308,恰雷姆,Medicham,
0309,落雷獸,Electrike,落雷兽
0310,雷電獸,Manectric,雷电兽
0311,正電拍拍,Plusle,正电拍拍
0312,負電拍拍,Minun,负电拍拍
0313,電螢蟲,Volbeat,电萤虫
0314,甜甜螢,Illumise,甜甜萤
0315,毒薔薇,Roselia,毒蔷薇
0316,溶食獸,Gulpin,溶食兽
0317,吞食獸,Swalot,吞食兽
0318,利牙魚,Carvanha,利牙鱼
0319,巨牙鯊,Sharpedo,巨牙鲨
0320,吼吼鯨,Wailmer,吼吼鲸
0321,吼鯨王,Wailord,吼鲸王
0322,呆火駝,Numel,呆火驼
0323,噴火駝,Camerupt,喷火驼
0324,煤炭龜,Torkoal,煤炭龟
0325,跳跳豬,Spoink,跳跳猪
0326,噗噗豬,Grumpig,噗噗猪
0327,晃晃斑,Spinda,
0328,大顎蟻,Trapinch,大颚蚁
0329,超音波幼蟲,Vibrava,超音波幼虫
0330,沙漠蜻蜓,Flygon,
0331,刺球仙人掌,Cacnea,沙漠奈亞|沙漠奈亚
0332,夢歌仙人掌,Cacturne,梦歌仙人掌|夢歌奈亞|梦歌奈亚
0333,青綿鳥,Swablu,青绵鸟
0334,七夕青鳥,Altaria,七夕青鸟
0335,貓鼬斬,Zangoose,猫鼬斩
0336,飯匙蛇,Seviper,饭匙蛇
0337,月石,Lunatone,
0338,太陽岩,Solrock,太阳岩
0339,泥泥鰍,Barboach,泥泥鳅
0340,鯰魚王,Whiscash,鲶鱼王
0341,龍蝦小兵,Corphish,龙虾小兵
0342,鐵螯龍蝦,Crawdaunt,铁螯龙虾
0343,天秤偶,Baltoy,
0344,念力土偶,Claydol,
0345,觸手百合,Lileep,触手百合
0346,搖籃百合,Cradily,摇篮百合
0347,太古羽蟲,Anorith,太古羽虫
0348,太古盔甲,Armaldo,
0349,醜醜魚,Feebas,丑丑鱼|笨笨魚|笨笨鱼
0350,美納斯,Milotic,美纳斯
0351,飄浮泡泡,Castform,飘浮泡泡|漂浮泡泡
0352,變隱龍,Kecleon,变隐龙
0353,怨影娃娃,Shuppet,
0354,詛咒娃娃,Banette,诅咒娃娃
0355,夜巡靈,Duskull,夜巡灵|夜骷顱|夜骷颅
0356,彷徨夜靈,Dusclops,彷徨夜灵|夜巨人
0357,熱帶龍,Tropius,热带龙
0358,風鈴鈴,Chimecho,风铃铃
0359,阿勃梭魯,Absol,阿勃梭鲁
0360,小果然,Wynaut,果然仔
0361,雪童子,Snorunt,
0362,冰鬼護,Glalie,冰鬼护
0363,海豹球,Spheal,
0364,海魔獅,Sealeo,海魔狮
0365,帝牙海獅,Walrein,帝牙海狮
0366,珍珠貝,Clamperl,珍珠贝
0367,獵斑魚,Huntail,猎斑鱼
0368,櫻花魚,Gorebyss,樱花鱼
0369,古空棘魚,Relicanth,古空棘鱼
0370,愛心魚,Luvdisc,爱心鱼
0371,寶貝龍,Bagon,宝贝龙
0372,甲殼龍,Shelgon,甲壳龙
0373,暴飛龍,Salamence,暴飞龙|暴蠑螈
0374,鐵啞鈴,Beldum,铁哑铃
0375,金屬怪,Metang,金属怪
0376,巨金怪,Metagross,
0377,雷吉洛克,Regirock,
0378,雷吉艾斯,Regice,
0379,雷吉斯奇魯,Registeel,雷吉斯奇鲁
0380,拉帝亞斯,Latias,拉帝亚斯
0381,拉帝歐斯,Latios,拉帝欧斯
0382,蓋歐卡,Kyogre,盖欧卡
0383,固拉多,Groudon,
0384,烈空坐,Rayquaza,
0385,基拉祈,Jirachi,
0386,代歐奇希斯,Deoxys,代欧奇希斯
0387,草苗龜,Turtwig,草苗龟
0388,樹林龜,Grotle,树林龟
0389,土台龜,Torterra,土台龟
0390,小火焰猴,Chimchar,
0391,猛火猴,Monferno,
0392,烈焰猴,Infernape,
0393,波加曼,Piplup,
0394,波皇子,Prinplup,
0395,帝王拿波,Empoleon,
0396,姆克兒,Starly,姆克儿
0397,姆克鳥,Staravia,姆克鸟
0398,姆克鷹,Staraptor,姆克鹰
0399,大牙狸,Bidoof,
0400,大尾狸,Bibarel,
0401,圓法師,Kricketot,圆法师
0402,音箱蟀,Kricketune,
0403,小貓怪,Shinx,小猫怪
0404,勒克貓,Luxio,勒克猫
0405,倫琴貓,Luxray,伦琴猫
0406,含羞苞,Budew,
0407,羅絲雷朵,Roserade,罗丝雷朵
0408,頭蓋龍,Cranidos,头盖龙
0409,戰槌龍,Rampardos,战槌龙
0410,盾甲龍,Shieldon,盾甲龙
0411,護城龍,Bastiodon,护城龙
0412,結草兒,Burmy,结草儿
0413,結草貴婦,Wormadam,结草贵妇
0414,紳士蛾,Mothim,绅士蛾
0415,三蜜蜂,Combee,
0416,蜂女王,Vespiquen,蜂后
0417,帕奇利茲,Pachirisu,帕奇利兹
0418,泳圈鼬,Buizel,泳氣鼬|泳气鼬
0419,浮潛鼬,Floatzel,浮潜鼬
0420,櫻花寶,Cherubi,樱花宝
0421,櫻花兒,Cherrim,樱花儿
0422,無殼海兔,Shellos,无壳海兔|無殼海牛|无壳海牛
0423,海兔獸,Gastrodon,海兔兽|海牛獸|海牛兽
0424,雙尾怪手,Ambipom,双尾怪手
0425,飄飄球,Drifloon,飘飘球
0426,隨風球,Drifblim,随风球|附和氣球|附和气球
0427,捲捲耳,Buneary,卷卷耳
0428,長耳兔,Lopunny,长耳兔
0429,夢妖魔,Mismagius,梦妖魔
0430,烏鴉頭頭,Honchkrow,乌鸦头头
0431,魅力喵,Glameow,
0432,東施喵,Purugly,东施喵
0433,鈴鐺響,Chingling,铃铛响|鈴噹響
0434,臭鼬噗,Stunky,
0435,坦克臭鼬,Skuntank,
0436,銅鏡怪,Bronzor,铜镜怪
0437,青銅鐘,Bronzong,青铜钟
0438,盆才怪,Bonsly,愛哭樹|爱哭树
0439,魔尼尼,Mime Jr.,
0440,小福蛋,Happiny,好運蛋|好运蛋
0441,聒噪鳥,Chatot,聒噪鸟
0442,花岩怪,Spiritomb,
0443,圓陸鯊,Gible,圆陆鲨
0444,尖牙陸鯊,Gabite,尖牙陆鲨
0445,烈咬陸鯊,Garchomp,烈咬陆鲨
0446,小卡比獸,Munchlax,小卡比兽
0447,利歐路,Riolu,利欧路|利奧路
0448,路卡利歐,Lucario,路卡利欧|路卡利奧
0449,沙河馬,Hippopotas,沙河马|怪河馬|怪河马
0450,河馬獸,Hippowdon,河马兽
0451,鉗尾蠍,Skorupi,钳尾蝎|紫天蠍|紫天蝎
0452,龍王蠍,Drapion,龙王蝎
0453,不良蛙,Croagunk,
0454,毒骷蛙,Toxicroak,
0455,尖牙籠,Carnivine,尖牙笼
0456,螢光魚,Finneon,荧光鱼
0457,霓虹魚,Lumineon,霓虹鱼
0458,小球飛魚,Mantyke,小球飞鱼
0459,雪笠怪,Snover,
0460,暴雪王,Abomasnow,
0461,瑪狃拉,Weavile,玛狃拉
0462,自爆磁怪,Magnezone,
0463,大舌舔,Lickilicky,
0464,超甲狂犀,Rhyperior,超鐵暴龍|超铁暴龙
0465,巨蔓藤,Tangrowth,
0466,電擊魔獸,Electivire,电击魔兽
0467,鴨嘴炎獸,Magmortar,鸭嘴炎兽|鴨嘴焰龍|鸭嘴焰龙
0468,波克基斯,Togekiss,
0469,遠古巨蜓,Yanmega,远古巨蜓|梅卡陽瑪|梅卡阳玛
0470,葉伊布,Leafeon,叶伊布|葉精靈|葉伊貝|叶精灵
0471,冰伊布,Glaceon,冰精靈|冰伊貝|冰精灵
0472,天蠍王,Gliscor,天蝎王
0473,象牙豬,Mamoswine,象牙猪
0474,多邊獸Ｚ,Porygon-Z,多边兽Ｚ|多边兽乙型|3D龍Z|立方獸Z|3D龙Z
0475,艾路雷朵,Gallade,
0476,大朝北鼻,Probopass,
0477,黑夜魔靈,Dusknoir,黑夜魔灵|夜黑魔人
0478,雪妖女,Froslass,
0479,洛托姆,Rotom,
0480,由克希,Uxie,
0481,艾姆利多,Mesprit,
0482,亞克諾姆,Azelf,亚克诺姆
0483,帝牙盧卡,Dialga,帝牙卢卡
0484,帕路奇亞,Palkia,帕路奇亚|帕路奇犽
0485,席多藍恩,Heatran,席多蓝恩
0486,雷吉奇卡斯,Regigigas,
0487,騎拉帝納,Giratina,骑拉帝纳
0488,克雷色利亞,Cresselia,克雷色利亚
0489,霏歐納,Phione,霏欧纳
0490,瑪納霏,Manaphy,玛纳霏
0491,達克萊伊,Darkrai,达克莱伊
0492,謝米,Shaymin,谢米|潔咪|洁咪
0493,阿爾宙斯,Arceus,阿尔宙斯
0494,比克提尼,Victini,
0495,藤藤蛇,Snivy,
0496,青藤蛇,Servine,
0497,君主蛇,Serperior,
0498,暖暖豬,Tepig,暖暖猪
0499,炒炒豬,Pignite,炒炒猪
0500,炎武王,Emboar,
0501,水水獺,Oshawott,水水獭
0502,雙刃丸,Dewott,双刃丸
0503,大劍鬼,Samurott,大剑鬼
0504,探探鼠,Patrat,
0505,步哨鼠,Watchog,
0506,小約克,Lillipup,小约克
0507,哈約克,Herdier,哈约克
0508,長毛狗,Stoutland,长毛狗
0509,扒手貓,Purrloin,扒手猫
0510,酷豹,Liepard,
0511,花椰猴,Pansage,
0512,花椰猿,Simisage,
0513,爆香猴,Pansear,
0514,爆香猿,Simisear,
0515,冷水猴,Panpour,
0516,冷水猿,Simipour,
0517,食夢夢,Munna,食梦梦
0518,夢夢蝕,Musharna,梦梦蚀
0519,豆豆鴿,Pidove,豆豆鸽
0520,咕咕鴿,Tranquill,咕咕鸽|波波鴿
0521,高傲雉雞,Unfezant,高傲雉鸡|轟隆雉雞
0522,斑斑馬,Blitzle,斑斑马
0523,雷電斑馬,Zebstrika,雷电斑马
0524,石丸子,Roggenrola,
0525,地幔岩,Boldore,
0526,龐岩怪,Gigalith,庞岩怪
0527,滾滾蝙蝠,Woobat,滚滚蝙蝠
0528,心蝙蝠,Swoobat,
0529,螺釘地鼠,Drilbur,螺钉地鼠
0530,龍頭地鼠,Excadrill,龙头地鼠
0531,差不多娃娃,Audino,
0532,搬運小匠,Timburr,搬运小匠
0533,鐵骨土人,Gurdurr,铁骨土人
0534,修建老匠,Conkeldurr,修繕老頭
0535,圓蝌蚪,Tympole,圆蝌蚪
0536,藍蟾蜍,Palpitoad,蓝蟾蜍
0537,蟾蜍王,Seismitoad,
0538,投摔鬼,Throh,投射鬼
0539,打擊鬼,Sawk,打击鬼
0540,蟲寶包,Sewaddle,虫宝包
0541,寶包繭,Swadloon,宝包茧
0542,保母蟲,Leavanny,保姆虫
0543,百足蜈蚣,Venipede,
0544,車輪毬,Whirlipede,车轮球
0545,蜈蚣王,Scolipede,
0546,木棉球,Cottonee,
0547,風妖精,Whimsicott,风妖精
0548,百合根娃娃,Petilil,
0549,裙兒小姐,Lilligant,裙儿小姐
0550,野蠻鱸魚,Basculin,野蛮鲈鱼|勇士鱸魚
0551,黑眼鱷,Sandile,黑眼鳄
0552,混混鱷,Krokorok,混混鳄
0553,流氓鱷,Krookodile,流氓鳄
0554,火紅不倒翁,Darumaka,火红不倒翁
0555,達摩狒狒,Darmanitan,达摩狒狒
0556,沙鈴仙人掌,Maractus,沙铃仙人掌|街頭沙鈴
0557,石居蟹,Dwebble,
0558,岩殿居蟹,Crustle,
0559,滑滑小子,Scraggy,滑頭小子
0560,頭巾混混,Scrafty,头巾混混
0561,象徵鳥,Sigilyph,象征鸟
0562,哭哭面具,Yamask,
0563,死神棺,Cofagrigus,迭失棺
0564,原蓋海龜,Tirtouga,原盖海龟
0565,肋骨海龜,Carracosta,肋骨海龟
0566,始祖小鳥,Archen,始祖小鸟
0567,始祖大鳥,Archeops,始祖大鸟
0568,破破袋,Trubbish,
0569,灰塵山,Garbodor,灰尘山
0570,索羅亞,Zorua,索罗亚
0571,索羅亞克,Zoroark,索罗亚克
0572,泡沫栗鼠,Minccino,
0573,奇諾栗鼠,Cinccino,奇诺栗鼠
0574,哥德寶寶,Gothita,哥德宝宝
0575,哥德小童,Gothorita,
0576,哥德小姐,Gothitelle,
0577,單卵細胞球,Solosis,单卵细胞球
0578,雙卵細胞球,Duosion,双卵细胞球
0579,人造細胞卵,Reuniclus,人造细胞卵
0580,鴨寶寶,Ducklett,鸭宝宝
0581,舞天鵝,Swanna,舞天鹅|首席天鵝|首席天鹅
0582,迷你冰,Vanillite,
0583,多多冰,Vanillish,
0584,雙倍多多冰,Vanilluxe,双倍多多冰
0585,四季鹿,Deerling,
0586,萌芽鹿,Sawsbuck,芽吹鹿
0587,電飛鼠,Emolga,电飞鼠|導電飛鼠
0588,蓋蓋蟲,Karrablast,盖盖虫
0589,騎士蝸牛,Escavalier,骑士蜗牛
0590,哎呀球菇,Foongus,寶貝球菇|精靈球菇
0591,敗露球菇,Amoonguss,败露球菇|暴露菇
0592,輕飄飄,Frillish,轻飘飘
0593,胖嘟嘟,Jellicent,
0594,保母曼波,Alomomola,保姆曼波
0595,電電蟲,Joltik,电电虫
0596,電蜘蛛,Galvantula,电蜘蛛
0597,種子鐵球,Ferroseed,种子铁球
0598,堅果啞鈴,Ferrothorn,坚果哑铃
0599,齒輪兒,Klink,齿轮儿
0600,齒輪組,Klang,齿轮组
0601,齒輪怪,Klinklang,齿轮怪
0602,麻麻小魚,Tynamo,麻麻小鱼
0603,麻麻鰻,Eelektrik,麻麻鳗
0604,麻麻鰻魚王,Eelektross,麻麻鳗鱼王
0605,小灰怪,Elgyem,
0606,大宇怪,Beheeyem,
0607,燭光靈,Litwick,烛光灵
0608,燈火幽靈,Lampent,灯火幽灵
0609,水晶燈火靈,Chandelure,水晶灯火灵
0610,牙牙,Axew,
0611,斧牙龍,Fraxure,斧牙龙
0612,雙斧戰龍,Haxorus,双斧战龙
0613,噴嚏熊,Cubchoo,喷嚏熊
0614,凍原熊,Beartic,冻原熊
